Resource01;Resource01-10;Resource01-20;Resource1-40+;Resource or Admin;*
Resource02;Resource01-10;Resource01-20;Resource1-40+;Resource or Admin;*
Resource03;Resource01-10;Resource01-20;Resource1-40+;Resource or Admin;*
Resource04;Resource01-10;Resource01-20;Resource1-40+;Resource or Admin;*
Resource05;Resource01-10;Resource01-20;Resource1-40+;Resource or Admin;*
Resource06;Resource01-10;Resource01-20;Resource1-40+;Resource or Admin;*
Resource07;Resource01-10;Resource01-20;Resource1-40+;Resource or Admin;*
Resource08;Resource01-10;Resource01-20;Resource1-40+;Resource or Admin;*
Resource09;Resource01-10;Resource01-20;Resource1-40+;Resource or Admin;*
Resource10;Resource01-10;Resource01-20;Resource1-40+;Resource or Admin;*
Resource11;Resource11-20;Resource01-20;Resource1-40+;Resource or Admin;*
Resource12;Resource11-20;Resource01-20;Resource1-40+;Resource or Admin;*
Resource13;Resource11-20;Resource01-20;Resource1-40+;Resource or Admin;*
Resource14;Resource11-20;Resource01-20;Resource1-40+;Resource or Admin;*
Resource15;Resource11-20;Resource01-20;Resource1-40+;Resource or Admin;*
Resource16;Resource11-20;Resource01-20;Resource1-40+;Resource or Admin;*
Resource17;Resource11-20;Resource01-20;Resource1-40+;Resource or Admin;*
Resource18;Resource11-20;Resource01-20;Resource1-40+;Resource or Admin;*
Resource19;Resource11-20;Resource01-20;Resource1-40+;Resource or Admin;*
Resource20;Resource11-20;Resource01-20;Resource1-40+;Resource or Admin;*
Resource21;Resource21-30;Resource21-40;Resource1-40+;Resource or Admin;*
Resource22;Resource21-30;Resource21-40;Resource1-40+;Resource or Admin;*
Resource23;Resource21-30;Resource21-40;Resource1-40+;Resource or Admin;*
Resource24;Resource21-30;Resource21-40;Resource1-40+;Resource or Admin;*
Resource25;Resource21-30;Resource21-40;Resource1-40+;Resource or Admin;*
Resource26;Resource21-30;Resource21-40;Resource1-40+;Resource or Admin;*
Resource27;Resource21-30;Resource21-40;Resource1-40+;Resource or Admin;*
Resource28;Resource21-30;Resource21-40;Resource1-40+;Resource or Admin;*
Resource29;Resource21-30;Resource21-40;Resource1-40+;Resource or Admin;*
Resource30;Resource21-30;Resource21-40;Resource1-40+;Resource or Admin;*
Resource31;Resource31-40;Resource21-40;Resource1-40+;Resource or Admin;*
Resource32;Resource31-40;Resource21-40;Resource1-40+;Resource or Admin;*
Resource33;Resource31-40;Resource21-40;Resource1-40+;Resource or Admin;*
Resource34;Resource31-40;Resource21-40;Resource1-40+;Resource or Admin;*
Resource35;Resource31-40;Resource21-40;Resource1-40+;Resource or Admin;*
Resource36;Resource31-40;Resource21-40;Resource1-40+;Resource or Admin;*
Resource37;Resource31-40;Resource21-40;Resource1-40+;Resource or Admin;*
Resource38;Resource31-40;Resource21-40;Resource1-40+;Resource or Admin;*
Resource39;Resource31-40;Resource21-40;Resource1-40+;Resource or Admin;*
Resource40;Resource31-40;Resource21-40;Resource1-40+;Resource or Admin;*
Resource41;Resource40+;Resource40+;Resource1-40+;Resource or Admin;*
Resource42;Resource40+;Resource40+;Resource1-40+;Resource or Admin;*
Resource43;Resource40+;Resource40+;Resource1-40+;Resource or Admin;*
admin1;admin;admin;admin;Resource or Admin;*
admin2;admin;admin;admin;Resource or Admin;*
admin3;admin;admin;admin;Resource or Admin;*
-;-;-;-;-;-
